	title	contributor	date	lot	country	city	locationdef	source	basename	ur
0	[Montreux, and Clarens, Geneve Lake, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702462.jpg	http://www.loc.gov/item/2001702462/
1	[The Gate of Notre Dame d'Iberia, Moscow, Russia]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697454.jpg	http://www.loc.gov/item/2001697454/
2	Chateau de Ramezay. Montreal	['Detroit Photographic Co., publisher']	1901	LOT 14184	['canada']	['montréal.']	Cuba	no source	2017659145.jpg	http://www.loc.gov/item/2017659145/
3	[Harbor, Nice, France]	no contributor	1890	LOT 13512	no country	no city	unidentified	Nineteenth century travel views of Europe	2002715107.jpg	http://www.loc.gov/item/2002715107/
4	[Cattaro, from the West, Dalmatia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710755.jpg	http://www.loc.gov/item/2002710755/
5	Phelps Hall and gateway, Yale College	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679552.jpg	http://www.loc.gov/item/2008679552/
6	[Christianental, Wernigerode, Hartz Mountains, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720619.jpg	http://www.loc.gov/item/2002720619/
7	[Sion, general view, Valais, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703273.jpg	http://www.loc.gov/item/2001703273/
8	[Toblach, New Toblach, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711144.jpg	http://www.loc.gov/item/2002711144/
9	[Park and Chamber of Representatives, Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697907.jpg	http://www.loc.gov/item/2001697907/
10	[Waiting for a job (donkeys), England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708365.jpg	http://www.loc.gov/item/2002708365/
11	[Zermatt, Upper Gorner Gorge, Valais Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703336.jpg	http://www.loc.gov/item/2001703336/
12	[Luce Ben Aben, School of Arab Embroidery, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697842.jpg	http://www.loc.gov/item/2001697842/
13	[The sands, Weston-super-Mare, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708220.jpg	http://www.loc.gov/item/2002708220/
14	[A funeral vault in the Campo Santo, Genoa, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700849.jpg	http://www.loc.gov/item/2001700849/
15	[Stonebows, Lincoln, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696909.jpg	http://www.loc.gov/item/2002696909/
16	[Bosen and Johannesplatz, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711001.jpg	http://www.loc.gov/item/2002711001/
17	The summit of Pike's Peak	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008678206.jpg	http://www.loc.gov/item/2008678206/
