title	date	location	filename	url
montreux, and clarens, geneve lake, switzerland	1890	Switzerland	2001702462.jpg	http://www.loc.gov/item/2001702462/
the gate of notre dame d'iberia, moscow, russia	1890	Russia	2001697454.jpg	http://www.loc.gov/item/2001697454/
chateau de ramezay. montreal	1901	Canada	2017659145.jpg	http://www.loc.gov/item/2017659145/
harbor, nice, france	1890	France	2002715107.jpg	http://www.loc.gov/item/2002715107/
cattaro, from the west, dalmatia, austro-hungary	1890	Austro-Hungary	2002710755.jpg	http://www.loc.gov/item/2002710755/
phelps hall and gateway, yale college	1901	US	2008679552.jpg	http://www.loc.gov/item/2008679552/
christianental, wernigerode, hartz mountains, germany	1890	Germany	2002720619.jpg	http://www.loc.gov/item/2002720619/
sion, general view, valais, switzerland	1890	Switzerland	2001703273.jpg	http://www.loc.gov/item/2001703273/
toblach, new toblach, tyrol, austro-hungary	1890	Austro-Hungary	2002711144.jpg	http://www.loc.gov/item/2002711144/
park and chamber of representatives, brussels, belgium	1890	Belgium	2001697907.jpg	http://www.loc.gov/item/2001697907/
waiting for a job (donkeys), england	1890	UK	2002708365.jpg	http://www.loc.gov/item/2002708365/
zermatt, upper gorner gorge, valais alps of, switzerland	1890	Switzerland	2001703336.jpg	http://www.loc.gov/item/2001703336/
luce ben aben, school of arab embroidery, algiers, algeria	1899	Algeria	2001697842.jpg	http://www.loc.gov/item/2001697842/
the sands, weston-super-mare, england	1890	UK	2002708220.jpg	http://www.loc.gov/item/2002708220/
a funeral vault in the campo santo, genoa, italy	1890	Italy	2001700849.jpg	http://www.loc.gov/item/2001700849/
stonebows, lincoln, england	1890	UK	2002696909.jpg	http://www.loc.gov/item/2002696909/
bosen and johannesplatz, tyrol, austro-hungary	1890	Austro-Hungary	2002711001.jpg	http://www.loc.gov/item/2002711001/
the summit of pike's peak	1901	US	2008678206.jpg	http://www.loc.gov/item/2008678206/
town and fortress, tiflis, russia, (tbilisi, georgia)	1890	Russia	2001697511.jpg	http://www.loc.gov/item/2001697511/
ems-les bains (i.e., bad ems), hesse-nassau, germany	1890	Germany	2002713895.jpg	http://www.loc.gov/item/2002713895/
interlaken, kursall, bernese oberland, switzerland	1890	Switzerland	2001701188.jpg	http://www.loc.gov/item/2001701188/
dumfries house from south, cumnock, scotland	1890	Scotland	2001705962.jpg	http://www.loc.gov/item/2001705962/
benares. aurungzebs mosque	1890	India	2017658168.jpg	http://www.loc.gov/item/2017658168/
the avenue, southampton, england	1890	UK	2002708109.jpg	http://www.loc.gov/item/2002708109/
milk seller of siloam, holy land	1890	Holy Land	2001699276.jpg	http://www.loc.gov/item/2001699276/
california. mirror lake, yosemite valley	1898	US	2008678085.jpg	http://www.loc.gov/item/2008678085/
roland's hospital, hildesheim, hanover, germany	1890	Germany	2002713745.jpg	http://www.loc.gov/item/2002713745/
the grand canal, view i, venice, italy	1890	Italy	2001701022.jpg	http://www.loc.gov/item/2001701022/
pontoon bridge from deutz, cologne, the rhine, germany	1890	Germany	2002714080.jpg	http://www.loc.gov/item/2002714080/
railroad, florence, italy	1890	Italy	2001700799.jpg	http://www.loc.gov/item/2001700799/
baden-baden and the kurgarten, baden, germany	1890	Germany	2002696323.jpg	http://www.loc.gov/item/2002696323/
general view, bethel, holy land, (i.e., west bank)	1890	Holy Land	2002724965.jpg	http://www.loc.gov/item/2002724965/
general view, montpelier, france	1890	France	2001698467.jpg	http://www.loc.gov/item/2001698467/
schachen, view of the hinterrainthal, upper bavaria, germany	1890	Germany	2002696289.jpg	http://www.loc.gov/item/2002696289/
pleaskin head, giant's causeway. county antrim, ireland	1890	Ireland	2002717356.jpg	http://www.loc.gov/item/2002717356/
casino and beach at low tide, cherbourg, france	1890	France	2001697638.jpg	http://www.loc.gov/item/2001697638/
pikes peak avenue, colorado springs	1898	US	2008679694.jpg	http://www.loc.gov/item/2008679694/
the sands, gorleston, england	1890	UK	2002696773.jpg	http://www.loc.gov/item/2002696773/
oberammergau from ettaler street, upper bavaria, germany	1890	Germany	2002696266.jpg	http://www.loc.gov/item/2002696266/
the opera house, the grand staircase, paris, france	1890	France	2001698522.jpg	http://www.loc.gov/item/2001698522/
krummhubel, riesengebirge, germany (i.e., karpacz, poland)	1890	Germany	2002720530.jpg	http://www.loc.gov/item/2002720530/
caserne du regiment preobreschenska de la garde du corps [i.e., st. petersburg. new hermitage building from millionnaya street] s.-peterburgʺ. kazarma preobrazhekskage polka leĭbʺ-gvardīi.	1890	Russia	2014646339.jpg	http://www.loc.gov/item/2014646339/
bellagio, general view, lake como, italy	1890	Italy	2001700776.jpg	http://www.loc.gov/item/2001700776/
from dyer's hill, dartmouth, england	1890	UK	2002696636.jpg	http://www.loc.gov/item/2002696636/
the arena, interior, nîmes, france	1890	France	2001698488.jpg	http://www.loc.gov/item/2001698488/
lucknow. residency eastern side	1890	India	2017657622.jpg	http://www.loc.gov/item/2017657622/
corniche road and paillon valley, nice, riviera	1890	France	2001699333.jpg	http://www.loc.gov/item/2001699333/
kossuth monument, miskolez, hungary, austro-hungary	1890	Austro-Hungary	2002710885.jpg	http://www.loc.gov/item/2002710885/
